Department of Computer Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Form No: APF 1.8,,,,
Master Time Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Revision No: 0,,,,
Semester : I,,Academic Year 2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w.e.f. Date : 22/06/2015,,,,,Date : 01/07/2009,,,,
Period/ Days,Monday,,,,,,,,,,,,,,,,,,Tuesday,,,,,,,,,,,,,,,,,,Wednesday,,,,,,,,,,,,,,,,,,Thursday,,,,,,,,,,,,,,,,,,Friday,,,,,,,,,,,,,,,,,,Saturday,,,,,,,,,,,,,,,,,,
,SE A,,SE B,,SE C,,TE A,,TE B,,TE C,,BE A,,BE B,,BE C,,SE A,,SE B,,SE C,,TE A,,TE B,,TE C,,BE A,,BE B,,BE C,,SE A,,SE B,,SE C,,TE A,,TE B,,TE C,,BE A,,BE B,,BE C,,SE A,,SE B,,SE C,,TE A,,TE B,,TE C,,BE A,,BE B,,BE C,,SE A,,SE B,,SE C,,TE A,,TE B,,TE C,,BE A,,BE B,,BE C,,SE A,,SE B,,SE C,,TE A,,TE B,,TE C,,BE A,,BE B,,BE C,,
,,,,,B103,VSG,,,,,B203B,VAMI,,,,,,,,,,,,,,,,,,,,,,,B203C,AVP,,,,,B303,BSK,,,,,,,,,,,,,,,,,,,,,,,B303,KHW,,,,,B203A,AKB,,,,,,,,,,,B203B,VAMI,,,,,B203C,AVP,,,,,,,,,,,,,,,,,,,
4.30PM - 5.30PM,,,,,C3,DSPSL,,,,,C3,ESDL,Campus Connect Team,,Campus Connect Team,,Campus Connect Team,,,,,,B201,OSA,,,,,B101,DCWN,,,,,C3,PW,,,,,C3,MAL,,,,,B101,DCWN,Campus Connect Team,,Campus Connect Team,,Campus Connect Team,,,,,,B101,DSPS,,,,,C3,PL2,,,,,C3,CL2,,,,,B101,OSA,,,,,C3,PL1,,,,,C3,CL1,,,,,,,,,,,,,,,,,,,
,,,,,B104,SRR,,,,,B305,SBT,,,,,,,,,,,,,,,,,,,,,,,B103,,,,,,B104,VSG,,,,,,,,,,,,,,,,,,,,,,,B203B,VAMI,,,,,B204A,KRP,,,,,,,,,,,B303,KHW,,,,,B305,YKS,,,,,,,,,,,,,,,,,,,
,,,,,C4,OSAL,,,,,C4,PL1,,,,,,,,,,,BSK,,,,,,AAB,,,,,,C4,CL1,,,,,C4,DSPSL,,,,,AAB,,,,,,,,,,,,APK,,,,,,C4,PL1,,,,,C4,CL1,,,,,BSK,,,,,,C4,ESDL,,,,,C4,PW,,,,,,,,,,,,,,,,,,,
,,,,,B304,BSK,,,,,B302,YVD,,,,,,,,,,,,,,,,,,,,,,,B305,YKS,,,,,B203C,APK,,,,,,,,,,,,,,,,,,,,,,,B302,YVD,,,,,B305,YKS,,,,,,,,,,,B103,SBT,,,,,B105,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Format For Lecture,,,,Venue,,,Subject Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Faculty,,,,,,,,,,,,,,,,,,,,,,,,Format For Practical,,,,Batch,Subject Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC To:,1,ALL HOD's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Venue,Faculty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Dean [Academics],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOD,,,,,,,
,,,,Time Table Co-ordinator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Principal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
